SKU,SIZE,NAME,SOLD_AT,SOLD_PRICE,CONDITION,SOURCE,GENDER,BRAND,SILHOUETTE,COLORWAY,RETAILPRICE,RELEASEDATE,IS_COLLAB,COLLABORATOR,COLOR,SIZE_VALUE,IS_WIDE,IS_UK,IS_EU
CZ1055-101,10W,Nike Blazer Mid 77 Vintage Habanero Red (Women's),2021-05-09T14:40:03Z,124,is_new,stockx,women,Nike,Blazer,White/Habanero Red/Sail,100,30-10-2021,FALSE,None,red,10,FALSE,FALSE,FALSE
302370-145,12,Jordan 9 Retro Pearl Blue,2021-05-09T14:40:10Z,330,is_new,stockx,men,Jordan,Air Jordan 9,White/University Blue-Midnight Navy,190,09-02-2019,FALSE,None,white,12,FALSE,FALSE,FALSE
DC9845-100,11.5,Nike Air Max 90 White Orange Black,2021-05-09T14:40:18Z,120,is_new,stockx,men,Nike,Air Max 90,White/Turf Orange-Aquamarine-Black,120,29-03-2021,FALSE,None,orange,11.5,FALSE,FALSE,FALSE
CN8093-006,4,Jordan 8 Retro Pinksicle (TD),2021-05-09T14:40:40Z,100,is_new,stockx,toddler,Jordan,Air Jordan 8,Black/White-Pinksicle,60,04-09-2020,FALSE,None,black,4,FALSE,FALSE,FALSE
CU8591-101,8.5W,Nike Air Force 1 Low Shadow Sunset Pulse (Women's),2021-05-09T14:40:49Z,120,is_new,stockx,women,Nike,Air Force 1,Sail/Black-Sunset Pulse-Light Armory Blue,110,14-01-2021,FALSE,None,blue,8.5,FALSE,FALSE,FALSE
CV1659-001,7.5,Nike SB Dunk Low VX1000,2021-05-09T14:41:00Z,396,is_new,stockx,men,Nike,Dunk SB,Grey/Black-White,110,20-02-2021,FALSE,None,grey,7.5,FALSE,FALSE,FALSE
DB2778,8,adidas Kamanda Triple White,2021-05-09T14:41:04Z,71,is_new,stockx,men,adidas,Kamanda,Crystal White/Cloud White/Gold Metallic,130,01-03-2019,FALSE,None,white,8,FALSE,FALSE,FALSE
AR0715-011,10.5W,Jordan 11 Retro Jubilee (Women's),2021-05-09T14:41:13Z,273,is_new,stockx,women,Jordan,Air Jordan 11,Black/Multi-Color-White-Multi-Color,220,12-12-2020,FALSE,None,black,10.5,FALSE,FALSE,FALSE
CZ9079-100,10,Nike Free Run Trail Happy Pineapple,2021-05-09T14:41:34Z,183,is_new,stockx,men,Nike,Free RN,Coconut Milk/Lime Glow,110,17-06-2021,FALSE,None,green,10,FALSE,FALSE,FALSE
136064-105,11,Jordan 3 Retro White Cement (2011),2021-05-09T14:42:02Z,530,is_new,stockx,men,Jordan,Air Jordan 3,White/Cement Grey-Fire Red,150,22-01-2011,FALSE,None,white,11,FALSE,FALSE,FALSE
DD7117-100,7.5,Nike Air Force 1 Low Valentine's Day (2021),2021-05-09T14:42:06Z,194,is_new,stockx,men,Nike,Air Force 1,White/Cream/Red,110,06-02-2021,FALSE,None,cream,7.5,FALSE,FALSE,FALSE
FY4286,10,adidas Ultra 4D Triple Black,2021-05-09T14:42:13Z,214,is_new,stockx,men,adidas,Ultra 4D,Black/Black/Black,220,30-09-2020,FALSE,None,black,10,FALSE,FALSE,FALSE
VN0QHMF5E,9,Vans Old Skool Pro S Golf Wang Blue Pink,2021-05-09T14:42:57Z,390,is_new,stockx,men,Vans,Vans Old Skool Pro S,Blue/Pink,0,19-07-2014,TRUE,alexander wang,blue,9,FALSE,FALSE,FALSE
AR0715-011,10.5W,Jordan 11 Retro Jubilee (Women's),2021-05-09T14:43:04Z,307,is_new,stockx,women,Jordan,Air Jordan 11,Black/Multi-Color-White-Multi-Color,220,12-12-2020,FALSE,None,black,10.5,FALSE,FALSE,FALSE
BQ6806-106,9,Nike Blazer Mid '77 Vintage White,2021-05-09T14:43:20Z,103,is_new,stockx,men,Nike,Blazer,White/Sail/Light Bone,100,25-05-2020,FALSE,None,white,9,FALSE,FALSE,FALSE
164831C,10.5,Converse Chuck Taylor All-Star 70 Hi Undercover New Warriors Black,2021-05-09T14:43:46Z,89,is_new,stockx,men,Converse,Chuck 70,Black/Black-Natural,120,14-03-2019,FALSE,None,black,10.5,FALSE,FALSE,FALSE
CT8012-011,16,Jordan 11 Retro Jubilee 25th Anniversary,2021-05-09T14:44:00Z,345,is_new,stockx,men,Jordan,Air Jordan 11,Black/Multi-Color-White-Multi-Color,220,12-12-2020,FALSE,None,black,16,FALSE,FALSE,FALSE
CU9225-100,6.5,Nike Air Force 1 Low Supreme White,2021-05-09T14:44:21Z,237,is_new,stockx,men,Nike,Air Force 1,White/White-White,96,05-03-2020,TRUE,supreme,white,6.5,FALSE,FALSE,FALSE
921733-018,6W,Nike Air Max 97 Spruce Aura Celestine Blue (Women's),2021-05-09T14:44:25Z,129,is_new,stockx,women,Nike,Air Max 97,Spruce Aura/Celestine Blue,160,01-10-2019,FALSE,None,blue,6,FALSE,FALSE,FALSE
DD8557-100,9.5,Nike Air Max 2 CB 94 White Varsity Purple (2021),2021-05-09T14:44:38Z,152,is_new,stockx,men,Nike,Air Max 2 CB 94,White/Old Royal-Black,160,15-02-2021,FALSE,None,white,9.5,FALSE,FALSE,FALSE
FV9015,9.5,adidas NMD R1 Triple Black (2019/2020),2021-05-09T14:44:58Z,93,is_new,stockx,men,adidas,NMD Runner,Core Black/Core Black/Core Black,130,01-12-2019,FALSE,None,black,9.5,FALSE,FALSE,FALSE
CZ4776-101,7.5W,Jordan 1 Low Multi-Color Black Toe (Women's),2021-05-09T14:45:13Z,175,is_new,stockx,women,Jordan,Air Jordan 1,White/Hyper Royal-University Red-White,100,01-10-2020,FALSE,None,blue,7.5,FALSE,FALSE,FALSE
CV1677-100,9,Nike SB Dunk High Carpet Company,2021-05-09T14:45:27Z,405,is_new,stockx,men,Nike,Dunk SB,Blue/White-Gum,120,12-03-2021,FALSE,None,blue,9,FALSE,FALSE,FALSE
CZ1651-400,13,Nike Air Max Plus Psychic Blue White,2021-05-09T14:45:38Z,208,is_new,stockx,men,Nike,Air Max Plus,Psychic Blue/Midnight Navy/Sail/White,170,30-04-2021,FALSE,None,blue,13,FALSE,FALSE,FALSE
H02536,9.5,adidas Yeezy Boost 380 Onyx Reflective,2021-05-09T14:46:17Z,351,is_new,stockx,men,adidas,Yeezy Boost 380,Onyx/Onyx/Onyx,250,27-11-2020,TRUE,kanye west,black,9.5,FALSE,FALSE,FALSE
CQ9326-001/CQ9327-001,8,Nike Kyrie 7 Bred,2021-05-09T14:46:46Z,70,is_new,stockx,men,Nike,Nike Kyrie 7,Black/Grey/White,130,15-12-2020,FALSE,None,black,8,FALSE,FALSE,FALSE
AH6789-065,7W,Nike Air Max 270 South Beach (Women's),2021-05-09T14:46:59Z,123,is_new,stockx,women,Nike,Air Max 270,Pure Platinum/Pink Blast-Aurora-White,150,16-09-2019,FALSE,None,white,7,FALSE,FALSE,FALSE
DA4086-115,4.5Y,Nike Blazer Mid 77 White Pine Green (GS),2021-05-09T14:47:00Z,115,is_new,stockx,child,Nike,Blazer,White/Pine Green/Black,80,06-01-2021,FALSE,None,white,4.5,FALSE,FALSE,FALSE
528892-DRW00-9522,38.5,Gucci Rhyton Vintage Logo (Women's),2021-05-09T14:47:02Z,986,is_new,stockx,women,Gucci,Gucci Rhyton,Ivory,890,01-02-2019,FALSE,None,cream,38.5,FALSE,FALSE,TRUE
AT6810-001,14,Nike Air VaporMax 2019 Premium Black Active Fuchsia Photo Blue,2021-05-09T14:47:14.911Z,135,is_new,alias,men,Nike,Air VaporMax,Black/Active Fuchsia-Photo Blue-Lime Blast-Wolf Grey,190,10-01-2019,FALSE,None,black,14,FALSE,FALSE,FALSE
CJ1437-100,6,Nike Air Tech Challenge 2 Hot Lava (2019),2021-05-09T14:47:15Z,139,is_new,stockx,men,Nike,Air Tech Challenge 2,White/Hot Lava-Black-Granite,130,24-05-2019,FALSE,None,white,6,FALSE,FALSE,FALSE
DJ1199-400,12W,Jordan 1 High Zoom Air CMFT Aleali May Califia (Women's),2021-05-09T14:47:29Z,254,is_new,stockx,women,Jordan,Air Jordan 1 Zoom,Royal/Green,140,26-04-2021,FALSE,None,blue,12,FALSE,FALSE,FALSE
378037-003,11.5,Jordan 11 Retro Space Jam (2016),2021-05-09T14:47:33Z,462,is_new,stockx,men,Jordan,Air Jordan 11,Black/Dark Concord-White,220,10-12-2016,FALSE,None,black,11.5,FALSE,FALSE,FALSE
CZ9835-100,5Y,Jordan 1 Mid White Black Cyber Pink (GS),2021-05-09T14:47:50Z,164,is_new,stockx,child,Jordan,Air Jordan 1,White/Cyber-Active Fuchsia-Black,100,11-05-2020,FALSE,None,pink,5,FALSE,FALSE,FALSE
553680WHGP59061,43,Alexander McQueen Oversized Ivory Black,2021-05-09T14:47:52Z,438,is_new,stockx,men,Alexander McQueen,Alexander McQueen Oversized,Ivory,490,02-03-2019,FALSE,None,cream,43,FALSE,FALSE,TRUE
553680WHGP59000,43,Alexander McQueen Oversized White,2021-05-09T14:48:14Z,450,is_new,stockx,men,Alexander McQueen,Alexander McQueen Oversized,White,490,01-04-2020,FALSE,None,white,43,FALSE,FALSE,TRUE
302370-160,12,Jordan 9 Retro White Gym Red,2021-05-09T14:48:16Z,276,is_new,stockx,men,Jordan,Air Jordan 9,White/Black-Gym Red,190,05-10-2019,FALSE,None,white,12,FALSE,FALSE,FALSE
378037-123,11.5,Jordan 11 Retro UNC Win Like 82,2021-05-09T14:48:21Z,335,is_new,stockx,men,Jordan,Air Jordan 11,White/University Blue-Midnight Navy,220,11-11-2017,FALSE,None,white,11.5,FALSE,FALSE,FALSE
BQ4212-002,10.5,Nike Flight Legacy Black White,2021-05-09T14:48:41Z,100,is_new,stockx,men,Nike,Flight Legacy,Black/White,100,18-09-2019,FALSE,None,black,10.5,FALSE,FALSE,FALSE
H04941,11.5,adidas Samba Fox Tweed Simple Brown,2021-05-09T14:48:59Z,130,is_new,stockx,men,adidas,Samba,Simple Brown/Dark Brown/Wild Brown,100,01-03-2021,FALSE,None,brown,11.5,FALSE,FALSE,FALSE
BV7757-500,11W,Nike Zoom Pegasus Turbo 2 Special Edition Vivid Purple (Women's),2021-05-09T14:49:10Z,89,is_new,stockx,women,Nike,Zoom Pegasus Turbo 2,Vivid Purple/Saffron Quartz-Black-Voltage Purple,180,15-01-2020,FALSE,None,purple,11,FALSE,FALSE,FALSE
315115-112/DD8959-100,7.5W,Nike Air Force 1 Low '07 White (Women's),2021-05-09T14:49:15Z,80,is_new,stockx,women,Nike,Nike Air Force 1 Low '07,White/White,110,01-01-2018,FALSE,None,white,7.5,FALSE,FALSE,FALSE
BQ7618-007,12,Jordan 2 Retro Black History Month (2019),2021-05-09T14:49:43Z,185,is_new,stockx,men,Jordan,Air Jordan 2,Black/Metallic Gold,190,02-02-2019,FALSE,None,black,12,FALSE,FALSE,FALSE
DA4086-100,4.5Y,Nike Blazer Mid 77 White Black (GS),2021-05-09T14:49:45Z,80,is_new,stockx,child,Nike,Blazer,White/Black/Total Orange,80,29-03-2019,FALSE,None,white,4.5,FALSE,FALSE,FALSE
CZ6634-100,4.5Y,Jordan 3 Retro SE Fire Red Denim (GS),2021-05-09T14:49:57Z,246,is_new,stockx,child,Jordan,Air Jordan 3,White/Fire Red-Black,150,27-08-2020,FALSE,None,white,4.5,FALSE,FALSE,FALSE
CV1699-100,11.5,Nike Air Force 1 Low Iridescent Pixel Swoosh,2021-05-09T14:49:58Z,108,is_new,stockx,men,Nike,Air Force 1,White/Multi-Color-Black,110,08-02-2021,FALSE,None,white,11.5,FALSE,FALSE,FALSE
806771-001,10.5,Nike Air Max 2016 Black Dark Grey,2021-05-09T14:50:08Z,108,is_new,stockx,men,Nike,Air Max 2016,Black/White-Dark Grey,190,01-04-2016,FALSE,None,black,10.5,FALSE,FALSE,FALSE
CU9225-001,9.5,Nike Air Force 1 Low Supreme Black,2021-05-09T14:50:18Z,193,is_new,stockx,men,Nike,Air Force 1,Black/Black-Black,96,05-03-2020,TRUE,supreme,black,9.5,FALSE,FALSE,FALSE
AR4237-005,9.5,Nike Air Fear of God 1 Triple Black,2021-05-09T14:50:26Z,545,is_new,stockx,men,Nike,Air Fear of God 1,Black/Black,350,25-04-2020,TRUE,jerry lorenzo,black,9.5,FALSE,FALSE,FALSE
302359-070,6.5Y,Jordan 9 Retro Dark Charcoal University Gold (GS),2021-05-09T14:50:27Z,215,is_new,stockx,child,Jordan,Air Jordan 9,Black/Dark Charcoal-University Gold,140,30-01-2021,FALSE,None,black,6.5,FALSE,FALSE,FALSE
AJ6910-502,9W,Nike Air VaporMax Flyknit 3 Vivid Purple (Women's),2021-05-09T14:50:40Z,275,is_new,stockx,women,Nike,Air VaporMax,Vivid Purple/Racer Blue-Black-White,200,25-01-2020,FALSE,None,blue,9,FALSE,FALSE,FALSE
604133-050,10.5,Nike Air Max Plus Triple Black,2021-05-09T14:50:42Z,136,is_new,stockx,men,Nike,Air Max Plus,Black/Black-Black,150,20-12-2017,FALSE,None,black,10.5,FALSE,FALSE,FALSE
BV7757-500,11W,Nike Zoom Pegasus Turbo 2 Special Edition Vivid Purple (Women's),2021-05-09T14:51:05Z,127,is_new,stockx,women,Nike,Zoom Pegasus Turbo 2,Vivid Purple/Saffron Quartz-Black-Voltage Purple,180,15-01-2020,FALSE,None,purple,11,FALSE,FALSE,FALSE
CJ0930-001,6.5Y,Nike Air More Uptempo 96 Camo (GS),2021-05-09T14:51:10Z,143,is_new,stockx,child,Nike,Air More Uptempo,Black/Sail-Light British Tan-Asparagus-Outdoor Green-Celestial Gold,130,28-06-2019,FALSE,None,green,6.5,FALSE,FALSE,FALSE
AQ1090-200,11,Nike React Element 87 Dusty Peach,2021-05-09T14:51:32Z,125,is_new,stockx,men,Nike,React Element 87,Dusty Peach/Atmosphere Grey-Deep Royal Blue-Lucid Green-Amarillo-Hyper Grape,160,30-04-2019,FALSE,None,blue,11,FALSE,FALSE,FALSE
FV5578,4,adidas Yeezy Boost 350 V2 Synth (Non-Reflective),2021-05-09T14:51:54Z,1144,is_new,stockx,men,adidas,Yeezy Boost 350,Synth/Synth/Synth,220,22-06-2019,TRUE,kanye west,pink,4,FALSE,FALSE,FALSE
CZ7929-100,8.5W,Nike Air Force 1 Low Shadow White Black Aurora (Women's),2021-05-09T14:51:58Z,191,is_new,stockx,women,Nike,Air Force 1,White/Black-Aurora,110,01-04-2020,FALSE,None,white,8.5,FALSE,FALSE,FALSE
CW6576-800,10,Jordan 1 High Switch Peach,2021-05-09T14:51:59Z,201,is_new,stockx,men,Jordan,Air Jordan 1,Peach/Light Peach-Black-Volt,140,05-10-2021,FALSE,None,black,10,FALSE,FALSE,FALSE
852542-100,9,Jordan 1 Mid SE Union Black Toe,2021-05-09T14:52:09Z,162,is_new,stockx,men,Jordan,Air Jordan 1,White/Black-Light Smoke Grey-Gym Red,120,28-08-2020,TRUE,union la,white,9,FALSE,FALSE,FALSE
814443-005,5.5Y,Nike Air Max Tavas Black (GS),2021-05-09T14:52:24Z,82,is_new,stockx,child,Nike,Nike Air Max Tavas,Black/Black,85,01-01-2017,FALSE,None,black,5.5,FALSE,FALSE,FALSE
CU8063-001,10,Nike Air Foamposite One Gradient Soles,2021-05-09T14:52:41Z,237,is_new,stockx,men,Nike,Air Foamposite,Black/Team Royal-Team Orange-Black,230,15-10-2020,FALSE,None,black,10,FALSE,FALSE,FALSE
BQ6472-030,9.5W,Jordan 1 Mid Military Olive (Women's),2021-05-09T14:52:59Z,289,is_new,stockx,women,Jordan,Air Jordan 1,Black/Trooper-Sequoia,110,05-11-2019,FALSE,None,black,9.5,FALSE,FALSE,FALSE
CU9225-001,9.5,Nike Air Force 1 Low Supreme Black,2021-05-09T14:53:01Z,194,is_new,stockx,men,Nike,Air Force 1,Black/Black-Black,96,05-03-2020,TRUE,supreme,black,9.5,FALSE,FALSE,FALSE
315115-112/DD8959-100,6.5W,Nike Air Force 1 Low '07 White (Women's),2021-05-09T14:53:03Z,114,is_new,stockx,women,Nike,Nike Air Force 1 Low '07,White/White,110,01-01-2018,FALSE,None,white,6.5,FALSE,FALSE,FALSE
BQ3177-006/BQ3178-006,6,Nike LeBron 17 Infrared,2021-05-09T14:53:05Z,203,is_new,stockx,men,Nike,Nike LeBron 17,Black/University Red-White,200,24-01-2020,FALSE,None,black,6,FALSE,FALSE,FALSE
CU1646-400/CW7603-400,9,Nike Air Max 90 Denham,2021-05-09T14:53:10Z,168,is_new,stockx,men,Nike,Nike Air Max 90,Denim/Medium Denim-Infrared-Ecru,160,25-09-2020,FALSE,None,grey,9,FALSE,FALSE,FALSE
GZ3088,10.5,adidas ZX 8000 Sean Wotherspoon Superearth,2021-05-09T14:53:19Z,170,is_new,stockx,men,adidas,ZX 8000,Supplier Colour/Supplier Colour/Supplier Colour,140,16-04-2021,TRUE,None,green,10.5,FALSE,FALSE,FALSE
BV1228-100,9.5,Nike Air Max Speed Turf Philadelphia Eagles,2021-05-09T14:53:30Z,180,is_new,stockx,men,Nike,Air Max Speed Turf,White/Metallic Silver-Pine Green-Black,150,11-01-2019,FALSE,None,green,9.5,FALSE,FALSE,FALSE
414571-108,14,Jordan 13 Retro Starfish,2021-05-09T14:53:33Z,274,is_new,stockx,men,Jordan,Air Jordan 13,White/White-Starfish-Black,190,16-01-2021,FALSE,None,white,14,FALSE,FALSE,FALSE
308497-007,11.5,Jordan 4 Retro Cool Grey (2019),2021-05-09T14:53:35Z,426,is_new,stockx,men,Jordan,Air Jordan 4,Cool Grey/Chrome-Dark Charcoal-Varsity Maize,190,01-08-2019,FALSE,None,grey,11.5,FALSE,FALSE,FALSE
554724-091,9.5,Jordan 1 Mid Triple Black,2021-05-09T14:53:39Z,151,is_new,stockx,men,Nike,Air Jordan 1,Black/Black/Black,115,24-03-2020,FALSE,None,black,9.5,FALSE,FALSE,FALSE
CN9839-600,11.5,Nike Kyrie 6 Preheat Collection Berlin,2021-05-09T14:53:47Z,150,is_new,stockx,men,Nike,Kyrie 6,Multi-Color/Multi-Color,130,11-11-2019,FALSE,None,green,11.5,FALSE,FALSE,FALSE
FZ1292,13,adidas Harden Vol. 5 McDonald's All American,2021-05-09T14:53:51Z,220,is_new,stockx,men,adidas,Harden Vol. 5,Red/Blue-Yellow,130,06-03-2021,FALSE,None,red,13,FALSE,FALSE,FALSE
CD4373-100,8.5,Nike React Vision Honeycomb,2021-05-09T14:54:19Z,130,is_new,stockx,men,Nike,React Vision,White/Honeycomb-Vast Grey-Iron Grey,140,06-02-2020,FALSE,None,grey,8.5,FALSE,FALSE,FALSE
AT8087-001,13,Nike Air Fear of God Raid Light Bone,2021-05-09T14:54:47Z,288,is_new,stockx,men,Nike,Air Fear Of God Strap,Light Bone/Black-White,190,27-04-2019,TRUE,jerry lorenzo,cream,13,FALSE,FALSE,FALSE
CK6601-100,12,Nike Air Force 1 Low Aztec,2021-05-09T14:54:58Z,197,is_new,stockx,men,Nike,Air Force 1,White/Multi-Color-Vachetta Tan,130,23-06-2019,FALSE,None,white,12,FALSE,FALSE,FALSE
AJ6910-700,7.5W,Nike Air VaporMax Flyknit 3 Barely Volt Pink Tint (Women's),2021-05-09T14:55:08Z,155,is_new,stockx,women,Nike,Air VaporMax,Barely Volt/Diffused Taupe-Pink Tint-Metallic Silver-Pure Platinum,190,18-04-2019,FALSE,None,white,7.5,FALSE,FALSE,FALSE
CU9225-100,10.5,Nike Air Force 1 Low Supreme White,2021-05-09T14:55:17Z,190,is_new,stockx,men,Nike,Air Force 1,White/White-White,96,05-03-2020,TRUE,supreme,white,10.5,FALSE,FALSE,FALSE
DD1398-300,8.5,Nike Dunk High SE All-Star (2021),2021-05-09T14:55:24Z,187,is_new,stockx,men,Nike,Dunk,Barely Green/Black,110,09-03-2021,FALSE,None,green,8.5,FALSE,FALSE,FALSE
CT2302-001,10,Nike Air Force 1 Low '07 Light Bone White,2021-05-09T14:55:25Z,146,is_new,stockx,men,Nike,Air Force 1,Light Bone/White,105,17-12-2020,FALSE,None,tan,10,FALSE,FALSE,FALSE
CW7574-100,9.5,Nike Air Max 90 Euro Tour (2020),2021-05-09T14:55:27Z,144,is_new,stockx,men,Nike,Air Max 90,White/Midnight Navy-Bright Blue-University Red,140,03-07-2020,FALSE,None,blue,9.5,FALSE,FALSE,FALSE
DD9183-001,11,Nike Air Force 1 Low Miami Nights,2021-05-09T14:55:49Z,148,is_new,stockx,men,Nike,Air Force 1,Black/Teal/Hot Pink,110,09-02-2021,FALSE,None,black,11,FALSE,FALSE,FALSE
DC4830-100,12,Nike Air Max 97 Undefeated UCLA,2021-05-09T14:56:15Z,235,is_new,stockx,men,Nike,Air Max 97,White/Gold/Light Blue,180,08-01-2021,FALSE,None,blue,12,FALSE,FALSE,FALSE
DD8557-100,8,Nike Air Max 2 CB 94 White Varsity Purple (2021),2021-05-09T14:56:27Z,169,is_new,stockx,men,Nike,Air Max 2 CB 94,White/Old Royal-Black,160,15-02-2021,FALSE,None,white,8,FALSE,FALSE,FALSE
CZ2991-001,10C,Jordan 5 Retro Top 3 (TD),2021-05-09T14:56:28Z,125,is_new,stockx,toddler,Jordan,Air Jordan 5,Black/Fire Red-Grape Ice-New Emerald,65,20-06-2020,FALSE,None,black,10,FALSE,FALSE,FALSE
GY0093,8.5,adidas NMD Hu Pharrell Black,2021-05-09T14:56:30Z,201,is_new,stockx,men,adidas,NMD Human Race,Core Black/Core Black/Core Black,220,19-11-2020,FALSE,None,black,8.5,FALSE,FALSE,FALSE
1203A114-301,9.5,ASICS Gel-Lyte III Lichen Green,2021-05-09T14:56:40Z,100,is_new,stockx,men,ASICS,Gel Lyte 3,Lichen Green/Black,110,11-03-2021,FALSE,None,green,9.5,FALSE,FALSE,FALSE
CT0540-102,11.5,Nike Air Zoom Infinity Tour White Volt Baseball Blue,2021-05-09T14:56:53Z,231,is_new,stockx,men,Nike,Air Zoom Infinity Tour,White/Volt-Baseball Blue,160,01-01-2019,FALSE,None,blue,11.5,FALSE,FALSE,FALSE
554724-091,8,Jordan 1 Mid Triple Black,2021-05-09T14:57:02Z,153,is_new,stockx,men,Nike,Air Jordan 1,Black/Black/Black,115,24-03-2020,FALSE,None,black,8,FALSE,FALSE,FALSE
DA1641-001,10.5,Nike Air Max 90 PRM Light Smoke Grey,2021-05-09T14:57:04Z,165,is_new,stockx,men,Nike,Air Max 90,Light Smoke Grey/White-Particle Grey,140,01-04-2021,FALSE,None,grey,10.5,FALSE,FALSE,FALSE
CZ7927-100,11.5,Nike Air Force 1 Low Kith Paris,2021-05-09T14:57:04Z,611,is_new,stockx,men,Nike,Air Force 1,White/Red-Navy,140,26-02-2021,TRUE,ronnie fieg,white,11.5,FALSE,FALSE,FALSE
CJ4066-100,7Y,Nike Air Max 2090 Pure Platinum (GS),2021-05-09T14:57:23Z,88,is_new,stockx,child,Nike,Air Max 2090,White/Pure Platinum-Bright Crimson-Black,125,26-03-2020,FALSE,None,white,7,FALSE,FALSE,FALSE
FY1018,13,Reebok Question Mid Red Toe 25th Anniversary,2021-05-09T14:57:34Z,260,is_new,stockx,men,Reebok,Question,White/White-Red,140,21-08-2020,FALSE,None,white,13,FALSE,FALSE,FALSE
CK6715-100,12,Nike Air Max Plus 3 Laser Blue,2021-05-09T14:57:45Z,224,is_new,stockx,men,Nike,Air Max Plus 3,White/Black-Laser Blue-Enigma Stone,190,14-08-2020,FALSE,None,white,12,FALSE,FALSE,FALSE
CV1628-800,9,Nike SB Dunk Low Street Hawker (2021),2021-05-09T14:57:50Z,900,is_new,stockx,men,Nike,Dunk SB,Metallic Copper/Light Silver-Pueblo Brown-Metallic Silver,110,22-01-2021,TRUE,street hawker,grey,9,FALSE,FALSE,FALSE
EG7597,5.5,adidas Yeezy Boost 700 Inertia,2021-05-09T14:57:57Z,879,is_new,stockx,men,adidas,Yeezy Boost 700,Grey/Grey/Inertia,300,09-03-2019,TRUE,kanye west,grey,5.5,FALSE,FALSE,FALSE
AV2187-441,13,Jordan 11 Retro Low Derek Jeter RE2PECT,2021-05-09T14:57:58Z,381,is_new,stockx,men,Jordan,Air Jordan 11,Binary Blue/Binary Blue-Sail,200,18-07-2018,FALSE,None,blue,13,FALSE,FALSE,FALSE
CU1816-100,6.5,Nike Air Max 90 NRG Bacon (2021),2021-05-09T14:58:40Z,201,is_new,stockx,men,Nike,Air Max 90,Sail-Sheen-Straw-Medium Brown,140,26-03-2021,FALSE,None,brown,6.5,FALSE,FALSE,FALSE
CV1754-600,9,Nike Air Force 1 Low Experimental Racer Pink,2021-05-09T14:58:48Z,145,is_new,stockx,men,Nike,Air Force 1,Racer Pink/Arctic Punch-Sail-Opti Yellow,120,07-02-2021,FALSE,None,pink,9,FALSE,FALSE,FALSE
CT8527-115,10.5,Jordan 4 Retro Metallic Purple,2021-05-09T14:59:09Z,560,is_new,stockx,men,Jordan,Air Jordan 4,White/Metallic Silver-Court Purple,190,20-05-2020,FALSE,None,white,10.5,FALSE,FALSE,FALSE
FV1267,11,adidas Nite Jogger Triple White (2020),2021-05-09T14:59:35Z,86,is_new,stockx,men,adidas,Nite Jogger,Cloud White/Cloud White/Cloud White,130,07-06-2020,FALSE,None,white,11,FALSE,FALSE,FALSE
CU1816-100,7,Nike Air Max 90 NRG Bacon (2021),2021-05-09T14:59:51Z,145,is_new,stockx,men,Nike,Air Max 90,Sail-Sheen-Straw-Medium Brown,140,26-03-2021,FALSE,None,brown,7,FALSE,FALSE,FALSE
CT0979-601,6.5W,Jordan 1 High Zoom Air CMFT Pink Glaze Cactus Flower (Women's),2021-05-09T15:00:07Z,269,is_new,stockx,women,Jordan,Air Jordan 1 Zoom,Pink Glaze/Cactus Flower/White/Sail,140,23-01-2021,FALSE,None,pink,6.5,FALSE,FALSE,FALSE
CU5133-100,9.5,Nike LeBron 7 NFW Red Carpet (2019),2021-05-09T15:00:12Z,155,is_new,stockx,men,Nike,Air Max LeBron 7,White/Black-Glass Blue-Challenge Red,200,29-10-2019,FALSE,None,white,9.5,FALSE,FALSE,FALSE
487471-104,12,Jordan 14 Retro White Hyper Royal,2021-05-09T15:00:12Z,295,is_new,stockx,men,Jordan,Air Jordan 14,White/Black-Hyper Royal,190,19-09-2020,FALSE,None,white,12,FALSE,FALSE,FALSE
M992KT,7,New Balance 992 Kith Spring 2,2021-05-09T15:00:20Z,1000,is_new,stockx,men,New Balance,992,Steel Blue,195,22-05-2020,TRUE,ronnie fieg,grey,7,FALSE,FALSE,FALSE
BQ6931-105,6Y,Jordan 1 Mid SE Purple (GS),2021-05-09T15:00:30Z,166,is_new,stockx,child,Jordan,Air Jordan 1,White/Black-Light Solar Flare Heather-Varsity Purple,100,19-11-2020,FALSE,None,white,6,FALSE,FALSE,FALSE
CT0601-110,12,Nike Air Zoom Infinity Tour NRG Golf Ryder Cup USA,2021-05-09T15:00:34Z,198,is_new,stockx,men,Nike,Air Zoom Infinity Tour,White/University Red-Team Royal-Metallic Gold,180,24-09-2020,FALSE,None,white,12,FALSE,FALSE,FALSE
BQ4635-002,11,Nike Air Max 90 Slide Black White,2021-05-09T15:00:43Z,154,is_new,stockx,men,Nike,Air Max 90,Black/White,75,24-12-2019,FALSE,None,black,11,FALSE,FALSE,FALSE
AR4229-600/AR4230-600,12.5,Nike KD 12 University Red,2021-05-09T15:01:03Z,238,is_new,stockx,men,Nike,Nike KD 12,University Red/Black-White,150,01-05-2019,FALSE,None,red,12.5,FALSE,FALSE,FALSE
CT2550-600,12,Nike SB Dunk Low Frame Skate Habibi,2021-05-09T15:01:31Z,825,is_new,stockx,men,Nike,Dunk SB,White/Black-Green-Red-Gum,110,05-12-2020,FALSE,None,white,12,FALSE,FALSE,FALSE
